state,vehicles,gas
Alabama,1030,3.928
Alaska,960,4.724
Arkansas,931,3.756
Arizona,823,4.663
California,840,5.823
Colorado,919,3.969
Connecticut,860,3.996
Delaware,950,4.04
Florida,796,4.137
Georgia,829,3.831
Hawaii,872,5.234
Iowa,1050,3.849
Idaho,1122,4.411
Illinois,825,4.403
Indiana,914,4.062
Kansas,830,3.736
Kentucky,840,3.912
Louisiana,910,3.949
Maine,830,4.139
Maryland,690,3.781
Massachusetts,820,4.172
Michigan,870,3.998
Minnesota,870,3.871
Missouri,830,3.715
Mississippi,692,3.859
Montana,1120,4.054
North Carolina,790,3.928
North Dakota,1080,3.897
Nebraska,1046,3.834
New Hampshire,830,4.096
New Jersey,665,4.142
New Mexico,877,4.101
Nevada,803,5.158
New York,539,4.277
Ohio,910,3.924
Oklahoma,860,3.742
Oregon,896,4.676
Pennsylvania,798,4.257
Rhode Island,829,4.1
South Carolina,850,3.832
South Dakota,950,3.89
Tennessee,840,3.949
Texas,797,3.78
Utah,870,4.484
Virginia,840,4.038
Vermont,910,4.167
Washington,870,4.7
Wisconsin,860,3.825
West Virginia,876,4.046
Wyoming,1140,4.105
